pivo,massa,n,M,tempo_mediana_ms,tempo_medio_ms,tempo_min_ms,tempo_desvio_ms,tempo_mad_ms,comparacoes_medias,trocas_medias,repeticoes
meio,aleatorio,10000,200,0.426232,0.42693385,0.407817,0.0070588916081,0.008183952,426641.45,343783.99,100
meio,ordenado,10000,200,0.03346,0.03357504,0.03341,0.000637362192196,2.9652e-05,69879,63,100
meio,repetidos,10000,200,0.160024,0.16021763,0.150988,0.00523866963923,0.005574576,99558.95,40804.15,100
meio,aleatorio,100000,1,5.437477,5.4307378,5.360968,0.0423557414867,0.043543962,2253071.2,413289.8,15
meio,ordenado,100000,1,0.810464,0.810496266667,0.801054,0.00513855544552,0.00289107,1600016,65535,15
meio,repetidos,100000,1,2.45979,2.46274466667,2.397651,0.0463547203817,0.0333125394,1697826.86667,712816.2,15
meio,aleatorio,100000,2,5.433768,5.43965713333,5.358738,0.0473446089748,0.0612773406,2253071.2,413289.8,15
meio,ordenado,100000,2,0.804774,0.806102266667,0.797904,0.00657340345056,0.004180932,1600016,65535,15
meio,repetidos,100000,2,2.459331,2.4636432,2.396621,0.0381189282138,0.042787836,1697826.86667,712816.2,15
meio,aleatorio,100000,3,5.360018,5.35600786667,5.266649,0.0520249586982,0.057806574,2210456.2,396721.8,15
meio,ordenado,100000,3,0.726064,0.7259234,0.716494,0.00542290601852,0.00333585,1537874,34464,15
meio,repetidos,100000,3,2.414101,2.41733626667,2.343642,0.041034882902,0.019599972,1673577.2,688569.133333,15
meio,aleatorio,100000,4,5.264088,5.27245106667,5.183379,0.0642342385942,0.057065274,2190166.26667,395048.6,15
meio,ordenado,100000,4,0.725634,0.730646866667,0.716445,0.0131031464044,0.00896973,1534480,32767,15
meio,repetidos,100000,4,2.375332,2.37133486667,2.313482,0.0304675670928,0.040815978,1649988.33333,664983.666667,15
meio,aleatorio,100000,5,5.189409,5.1843958,5.08923,0.0612117065428,0.046271946,2170709,399195.4,15
meio,ordenado,100000,5,0.722684,0.722604666667,0.714654,0.00473734625332,0.003869586,1534480,32767,15
meio,repetidos,100000,5,2.342681,2.38807973333,2.271152,0.182512663887,0.0449212974,1630692.33333,652123.666667,15
meio,aleatorio,100000,6,5.1208,5.13980626667,5.024361,0.0892040561549,0.0476225946,2155498.86667,406733.466667,15
meio,ordenado,100000,6,0.649825,0.6857132,0.642615,0.0906248251326,0.00541149,1475732,18080,15
meio,repetidos,100000,6,2.299172,2.3296522,2.210502,0.130006492815,0.032498592,1607928.26667,635055.2,15
